sample_number,sample_name,aspect_ratio,circularity,type_ianetta,type_shull,length(cm),width(cm),preimeter(cm),area(cm),state,climate_region,id,id2,city_county_state,latitude,longitude,elevation,month,day,year,precp(in),max_temp C,min_temp C,avg_temp C,avg_tmax_six_months_prior,avg_tmin_six_months_prior,avgtemp(6monthsprior),avg_tmax_previous_ year,avg_tmin_previous_ year,tavg_previous_ year,avg_tmax_ year_DOC,avg_tmin_ year_DOC,tavg_ year_DOC,avgprecp(6monthsprior),avg_precp_previous_year,avg_precp_year_DOC
14,CBP_1_BRIT_Tex,4.003755596,0.442269451,Type3,simplex,3.03,0.93,5.51,5.51,TX,South,Houston,Houston1,"Houston, Texas",29.76,-95.36,11.00,November,14,1961,34.91,19.82,12.77,16.29,29.92,19.98,24.95,25.26,15.18,20.22,25.40,15.07,20.23,5.47,4.20,3.78
15,CBP_1_BRY_UTAH,3.300687925,0.235461035,Type6,simplex,3.51,0.71,10.11,10.00,UT,Southwest,eureka,eureka1,"Eureka, Toole County, Utah",39.93,-112.72,1981.00,June,14,2019,0.53,26.45,9.92,18.18,10.89,-1.52,4.69,16.40,2.12,9.26,16.10,1.72,8.91,2.34,1.46,1.44
16,CBP_1_BWDR_VIR,1.98952923,0.159723562,Type3,simplex,3.84,1.91,16.80,16.52,VI,Southeast,harrisonburg,harrisonburg2,"Harrisonburg, Rockham County, Virginia",38.45,-78.87,404.00,April,2,1962,0.00,9.05,-6.10,1.48,11.00,-0.94,5.03,17.64,4.96,11.30,16.94,4.08,10.51,2.80,2.95,3.24
17,CBP_1_CAL_MICH,4.402193134,0.194949849,Type1a1,simplex,6.65,1.23,19.90,19.53,MI,Upper_Midwest,Hudsonville,Hudsonville1,"Hudsonville, Ottowa County, Michigan",42.98,-85.89,969.00,May,7,1954,0.09,9.98,2.22,6.10,6.13,-2.23,1.95,14.05,3.65,8.85,14.49,4.91,9.70,2.47,2.37,2.76
18,CBP_1_CAL_WAS,4.636168367,0.262121031,Type3,simplex,2.82,0.58,6.62,6.53,WA,Northwest,wallawalla,,Walla Walla County_Washington_Walla Walla,46.07,-118.29,381.00,March,21,1963,0.00,19.63,8.78,14.21,9.52,0.04,4.78,16.95,4.56,10.75,16.64,4.45,10.55,1.88,1.61,1.26
19,CBP_1_CHAS_ILL,2.926350699,0.167737106,Type3,simplex,2.22,0.68,8.22,8.15,IL,Ohio_Valley,N/A,N/A,Illinois,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20,CBP_1_CHRB_OHIO,2.084294839,0.280198398,Type6,simplex,3.52,1.66,13.36,13.09,OH,Ohio_Valley,N/A,N/A,"Oberlin, Lorain County, Ohio",41.29,-82.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,CBP_1_CMC_MICH,5.550398875,0.305712878,Type3,simplex,8.10,1.29,17.46,17.44,MI,Upper_Midwest,Mt. Pleasant,Mt. Pleasant,"Mt. Pleasant, Isabella County, Michigan",43.60,-84.90,969.00,September,18,1997,2.90,26.10,9.15,17.63,21.68,8.01,14.84,12.53,1.25,6.89,13.18,1.50,7.34,2.12,2.17,1.86
22,CBP_1_COLO_OHIO,3.046689133,0.267312766,Type3,simplex,3.36,1.00,9.47,9.20,OH,Ohio_Valley,oxford,oxford,"Oxford, Butler County, Ohio",39.48,-84.69,281.00,May,4,1958,15.30,22.48,11.71,17.10,8.29,-1.75,3.27,17.67,5.91,11.79,16.67,4.94,10.80,2.47,2.92,3.01
23,CBP_1_COLO_OKLA,4.514628311,0.26913428,Type6,simplex,5.86,1.32,14.82,14.68,OK,South,stillwater,stillwater,"Stillwater, Payne County, Oklahoma",36.12,-97.06,273.00,April,10,1940,17.28,19.18,11.28,15.23,12.92,-0.49,6.21,23.34,9.19,16.27,21.44,8.49,14.97,1.40,1.86,2.53
24,CBP_1_COLO_UTAH,3.876280864,0.247460597,Type3,simplex,4.27,0.93,12.18,11.93,UT,Southwest,cache,cache,"Providence, Cache County, Utah",41.69,-111.80,1428.80,May,7,1967,0.00,19.31,4.80,12.05,6.22,-5.30,0.46,16.14,0.99,8.57,16.06,1.35,8.71,1.73,1.08,1.30
25,CBP_1_CSCN_IDA,,,,,3.51,0.87,9.07,8.98,ID,Northwest,caldwell,caldwell,Canyon County_Idaho_Caldwell,43.68,-116.68,723.00,April ,2,1959,0.00,19.83,8.13,13.98,8.80,-2.52,3.14,18.68,3.79,11.23,17.73,2.52,10.12,0.84,0.75,0.73
26,CBP_1_CSCN_NEB,3.758496391,0.393291963,Type3,simplex,4.62,1.31,9.93,9.93,NE,Northern_Rockies_and_Plains,N/A,N/A,Adams County_Nebraska_Hastings,40.59,-98.39,587.00,June,3,1978,0.34,23.34,10.56,16.95,8.07,-4.01,2.03,15.69,2.78,9.23,15.65,2.43,9.04,1.62,2.14,1.54
27,CBP_1_CSCN_UTAH,3.272077625,0.247921456,Type3,simplex,4.22,1.24,12.46,12.29,UT,Southwest,eureka,eureka2,"Eureka, Toole County, Utah",40.02,-112.41,1813.97,May,24,1995,10.78,17.79,6.90,12.34,10.88,-2.46,4.21,18.86,3.40,11.13,18.41,2.12,10.27,1.80,1.40,1.20
28,CBP_1_DES_ARIZ,3.267469662,0.234921323,Type3,simplex,2.13,0.63,6.35,6.15,AZ,Southwest,sunflower,sunflower1,"Gila County_Arizona_Chandler, Sunflower",33.87,-111.47,1249.00,April,3,1990,0.24,25.07,8.71,16.89,20.33,4.40,12.37,28.95,12.11,20.53,28.03,12.16,20.10,9.12,7.38,11.09
29,CBP_1_DOV_DELA,2.547936177,0.30263868,Type3,simplex,2.54,0.93,7.07,7.00,DE,Northeast,,,"Newark, New Castle County, Delaware",39.68,-75.75,5102.00,April,16,1925,,,,,,,,,,,,,,,,
30,CBP_1_DOV_MARY,2.365333226,0.207144436,Type1a2,simplex,4.00,1.37,15.60,15.33,MD,Northeast,carney,carney1,Baltimore County_Maryland_Carney and Long Green,39.45,-76.48,108.00,April,25,1970,32.20,80.75,-20.44,30.15,8.08,-2.04,3.02,17.45,6.28,11.86,18.01,6.91,12.46,3.22,3.03,2.84
31,CBP_1_DOV_VIR,2.745151668,0.296849948,Type6,simplex,8.63,2.09,23.46,23.33,VI,Southeast,pocomokecity,pocomokecity,"Pocomoke City, Accomac County, Virginia",38.07,-75.56,2.00,May,22,1938,8.28,27.56,15.56,21.56,14.09,3.04,8.56,19.59,8.57,14.08,20.14,9.02,14.58,2.44,3.34,3.86
32,CBP_1_DUKE_GEOR,3.665963702,0.113377314,Type1a2,simplex,6.12,1.59,27.05,26.63,GA,Southeast,madison,madison,"Madison, Morgan County, Georgia",33.59,-83.47,207.00,March,31,1991,0.00,17.60,2.95,10.28,17.66,5.60,11.63,23.66,11.10,17.38,22.64,11.25,16.95,3.48,2.97,3.57
33,CBP_1_EIU_ILL,2.20113734,0.126816858,Type3,simplex,5.85,2.63,28.61,28.13,IL,Ohio_Valley,fairbury,fairbury,"Fairbury, Livingston County, Illinois",40.75,-88.51,208.00,May,2,1999,0.00,24.31,5.48,14.89,7.39,-3.30,2.04,17.11,5.78,11.45,17.00,4.92,10.96,2.37,2.59,2.27
34,CBP_1_EIU_INDI,3.359858644,0.249761407,Type3,simplex,7.66,1.77,22.74,22.53,IN,Ohio_Valley,sulivan,sulivan,"Sullivan, Sullivan County, Indiana",39.05,-87.42,161.00,April,17,1974,2.61,15.55,0.65,8.10,9.82,-0.75,4.54,18.95,7.42,13.19,18.16,6.61,12.38,3.40,3.39,3.53
35,CBP_1_ESTU_VIR,2.048631603,0.192693473,Type6,simplex,4.40,1.93,17.64,17.31,VI,Southeast,N/A,N/A,"Waynesboro, Scott County, Virginia",38.07,-78.89,392.00,Summer,N/A,1958,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,CBP_1_EUH_GEOR,3.210959917,0.128768367,Type3,simplex,5.18,1.66,22.52,22.16,GA,Southeast,N/A,N/A,"Emory, DeKalb County, Georgia",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37,CBP_1_FARM_VIR,2.882381051,0.305197334,Type1a2,simplex,4.43,1.48,11.23,11.16,VI,Southeast,roanokecounty,roanokecounty,"Roanoke County, Virginia",37.27,-79.94,530.00,June,12,1979,0.00,23.72,7.87,15.79,14.31,2.18,8.24,18.88,6.18,12.53,18.04,5.95,12.00,3.80,2.99,3.71
38,CBP_1_FLAS_FLOR,1.712279522,0.379938753,Type3,simplex,4.60,2.84,15.42,15.27,FL,Southeast,tallahassee,tallahassee1,"Tallahassee, Leon County, Florida",30.46,-84.25,61.00,March,14,1957,0.36,26.04,15.24,20.64,22.76,10.11,16.43,26.72,14.12,20.42,26.50,14.67,20.59,1.38,2.80,4.46
39,CBP_1_FLAS_INDI,2.146087863,0.171686977,Type3,simplex,5.36,2.00,21.82,21.62,IN,Ohio_Valley,richmond,richmond,"Richmond, Wayne County, Indiana",39.83,-84.89,299.00,April,20,1973,4.32,22.73,13.74,18.23,7.10,-1.87,2.62,16.51,5.54,11.02,17.46,5.92,11.69,3.44,3.10,3.05
40,CBP_1_FLAS_MARY,2.437590988,0.18083668,Type3,simplex,4.82,1.84,16.55,17.45,MD,Northeast,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.48,108.00,April,25,1970,32.20,80.75,-20.44,30.15,8.08,-2.04,3.02,17.45,6.28,11.86,18.01,6.91,12.46,3.22,3.03,2.84
41,CBP_1_FLAS_OHIO,3.283469657,0.392914889,Type1a1,simplex,4.15,1.17,11.77,11.51,OH,Ohio_Valley,N/A,N/A,"Columbus, Franklin County, Ohio",39.95,-82.98,,N/A,N/A,1889,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42,CBP_1_FLAS_OKLA,3.411323766,0.219358969,Type3,simplex,3.36,1.00,9.69,9.62,OK,South,oklahomacity,oklahomacity1,"Oklahoma CIty, Oklahoma County, Oklahoma",35.48,-97.51,365.00,April,1,1937,0.00,20.55,4.70,12.63,12.36,-0.05,6.16,23.26,9.72,16.49,22.76,10.39,16.57,0.64,1.62,1.69
43,CBP_1_FLAS_VIR,2.688638788,0.086794668,Type2a2,tenuis,5.11,1.91,22.96,22.58,VI,Southeast,williamsburg,williamsburg3,"Williamsburg, York Country, Virginia",37.27,-76.71,85.00,May,26,1975,0.04,26.34,16.93,21.64,15.54,3.86,9.70,20.75,9.29,15.02,21.21,9.81,15.51,3.92,3.63,4.21
44,CBP_1_FMNH_ILL,4.184041971,0.28217431,Type1a1,heteris,4.60,0.86,12.92,12.70,IL,Ohio_Valley,parkridge,parkridge,"Park Ridge , Cook County, Illinois",42.02,-87.86,192.00,May,15,1907,N/A,N/A,N/A,N/A,5.92,-2.99,1.46,14.67,5.39,10.03,13.85,4.62,9.24,2.13,2.43,2.47
45,CBP_1_FSU_ALA,2.370385963,0.345765583,Type1a1,simplex,6.29,2.46,20.23,19.94,AL,Southeast,mobile,mobile1,"Mobile, Mobile County, Alabama",30.70,-88.04,3.00,March,1,1992,0.00,24.27,7.31,15.79,19.69,6.96,13.33,25.01,13.44,19.22,24.79,13.01,18.90,4.14,5.21,4.76
46,CBP_1_FSU_GEOR,2.751686853,0.226063628,Type1a1,simplex,4.47,1.41,15.09,14.94,GA,Southeast,darien,darien1,"Darien, McIntosh County, Georgia",31.38,-81.44,9.10,March,24,1958,9.98,16.77,9.86,13.31,18.13,6.62,12.37,24.06,13.28,18.67,24.27,13.10,18.69,2.90,4.50,3.08
47,CBP_1_FSU_INDI,2.205714369,0.291009842,Type1a2,simplex,1.58,0.67,5.42,5.25,IN,Ohio_Valley,monroecounty,monroecounty,"Monroe County, Indiana", 39.16,-86.52,303.00,April,27,1960,N/A,N/A,N/A,N/A,8.39,-1.90,3.25,18.74,7.02,12.88,18.05,5.76,11.91,1.92,2.56,2.43
48,CBP_1_FSU_OKLA,,,,,2.78,1.02,8.78,8.56,OK,South,riverbottom,riverbottom1,"River Bottom or Fort Gibson, Muskogee County, Oklahoma",35.80,-95.25,172.00,April,5,1959,0.00,27.98,10.10,19.04,13.65,0.30,6.97,22.10,9.46,15.78,21.81,9.33,15.57,1.80,2.99,3.33
49,CBP_1_FTG_FLOR,3.107249842,0.401070628,Type3,simplex,3.43,1.04,8.43,8.29,FL,Southeast,homestead,homestead1,"Homestead, Dade County, Florida",25.47,-80.48,1.00,December,2,1997,0.00,25.57,15.88,20.72,30.96,22.45,26.71,29.71,20.17,24.94,29.64,20.33,24.98,5.26,4.49,4.87
50,CBP_1_GA_FLOR,3.002600571,0.18089177,Type1a2,simplex,6.70,1.35,22.73,22.40,FL,Southeast,tallahassee,tallahassee2,"Tallahassee, Leon County, Florida",30.46,-84.25,61.00,March,14,1957,0.36,26.04,15.24,20.64,22.76,10.11,16.43,26.72,14.12,20.42,26.50,14.67,20.59,1.38,2.80,4.46
51,CBP_1_GA_VIR,4.019555272,0.309642614,Type6,simplex,6.60,1.48,15.65,15.45,VI,Southeast,winchester,winchester1," Winchester, Loudon County, Virginia",39.11,-77.83,301.00,May,30,1904,N/A,N/A,N/A,N/A,10.79,-2.50,4.15,17.70,3.85,10.78,18.05,3.68,10.86,1.65,2.40,2.39
52,CBP_1_GAS_GEOR,3.428983544,0.206510203,Type1a2,simplex,3.53,0.63,9.85,9.65,GA,Southeast,statesboro,statesboro1,"Statesboro, Bulloch County, Georgia",32.67,-81.33,77.10,March,16,1963,0.22,24.30,10.98,17.64,18.97,5.14,12.05,25.67,11.95,18.81,25.27,11.56,18.41,2.50,3.28,3.14
53,CBP_1_GAS_MARY,2.434269896,0.057575323,Type1a2,simplex,5.80,2.59,33.29,32.73,MD,Northeast,carney,carney3,Baltimore County_Maryland_Carney and Long Green,39.45,-76.48,108.00,April,25,1970,32.20,80.75,-20.44,30.15,8.08,-2.04,3.02,17.45,6.28,11.86,18.01,6.91,12.46,3.22,3.03,2.84
54,CBP_1_GMUF_VIR,2.762926577,0.152697097,Type3,simplex,5.05,1.86,21.16,20.72,VI,Southeast,alexandriacity,alexandriacity,"Alexandria City, N/A, Virginia",38.82,-77.05,85.00,April,6,1972,0.00,21.39,2.83,12.11,10.90,-0.15,5.38,19.42,7.74,13.58,18.58,7.13,12.85,2.75,3.53,3.93
55,CBP_1_GVSC_MICH,3.168122818,0.293121365,Type1a2,simplex,3.21,1.08,8.39,8.34,MI,Upper_Midwest,Hudsonville,Hudsonville2,"Hudsonville, Ottowa County, Michigan",42.98,-85.89,969.00,May,17,1967,0.00,18.34,6.58,12.46,5.53,-3.67,0.93,14.82,4.06,9.44,13.47,3.38,8.42,2.36,2.71,2.67
56,CBP_1_HAR_ALA,4.592522745,0.122457694,Type1a1,simplex,5.95,0.95,18.16,17.58,AL,Southeast,N/A,N/A,"Athens, Limestone County, Alabama",34.80,-86.97,214.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57,CBP_1_HAR_ARIZ,2.77865051,0.154188959,Type3,simplex,4.52,1.51,17.42,17.49,AZ,Southwest,tempe,tempe1,Maricopa County_Arizona_Tempe,33.40,-111.90,347.27,February,9,1932,15.84,18.52,9.68,14.10,23.92,7.37,15.65,29.23,11.98,20.61,29.33,11.12,20.23,9.31,9.07,5.71
58,CBP_1_HAR_FLOR,2.951318315,0.112106004,Type3,simplex,4.94,1.72,17.13,17.09,FL,Southeast,monticello,monticello,"Monticello, Jefferson County, Florida",30.55,-83.87,51.00,March,24,1958,2.96,18.97,11.57,15.27,19.40,6.95,13.17,25.34,13.33,19.33,25.57,13.20,19.39,3.17,4.73,3.63
59,CBP_1_HAR_IDA,,,,,7.11,1.79,18.11,17.47,ID,Northwest,N/A,N/A,Canyon County_Idaho_New Plymouth,43.97,-116.82,690.00,June,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
60,CBP_1_HAR_ILL,2.635681117,0.115345518,Type3,simplex,8.11,2.53,32.00,31.16,IL,Ohio_Valley,N/A,N/A,"Olney, Richland County, Illinois",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61,CBP_1_HAR_INDI,3.175379699,0.121074646,Type1a2,simplex,5.16,0.93,19.85,19.74,IN,Ohio_Valley,southport,southport1,"Southport, Marion County, Indiana",39.66,-86.12,228.00,April,27,1935,3.65,25.30,13.60,19.45,9.70,-0.33,4.68,19.29,7.30,13.29,17.38,6.35,11.86,1.58,1.77,2.76
62,CBP_1_HAR_MARY,3.603990931,0.369502634,Type3,simplex,3.12,0.77,7.60,7.55,MD,Northeast,accokeek,accokeek,Prince Georges County_Maryland_Accokeek,38.70,-77.07,59.00,April,20,1985,31.33,121.92,17.08,69.50,11.69,-0.12,5.79,18.84,7.14,12.99,19.28,8.18,13.73,1.94,2.47,3.42
63,CBP_1_HAR_MON,2.707549291,0.303683787,Type1a1,simplex,5.05,1.23,12.81,12.67,NE,Northern_Rockies_and_Plains,N/A,N/A,Montana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64,CBP_1_HAR_NEVA,,,,,8.68,1.40,24.16,24.08,NE,Northern_Rockies_and_Plains,N/A,N/A,Douglas County_Nevada,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
65,CBP_1_HAR_OHIO,3.244180912,0.29614811,Type3,simplex,3.28,1.13,9.89,9.86,OH,Ohio_Valley,N/A,N/A,Ohio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
66,CBP_1_HAR_OKLA,3.226150716,0.122825967,Type6,simplex,3.11,0.84,13.57,13.44,OK,South,hennessey,hennessey,"Hennessey, Kingfisher County, Oklahoma",36.11,-97.90,354.00,March,20,1914,,,,,14.65,1.61,8.13,22.97,8.76,15.86,23.15,8.71,15.93,1.51,1.93,1.34
67,CBP_1_HAR_UTAH,3.641381878,0.278932795,Type1a2,simplex,6.79,1.42,18.26,17.53,UT,Southwest,millcreek,millcreek,"Millcreek, Salt Lake County, Utah",40.68,-111.86,1337.60,April,13,1967,7.73,12.70,2.14,7.42,7.41,-4.21,1.60,16.74,1.99,9.37,16.47,2.04,9.26,1.58,1.18,1.42
68,CBP_1_HAR_WAS,3.236790654,0.177174657,Type3,simplex,10.17,3.28,47.11,46.00,WA,Northwest,N/A,N/A,Washington,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,f,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
69,CBP_1_HARV_DELA,2.805570733,0.176923689,Type3,simplex,4.89,1.65,17.65,17.59,DE,Northeast,,,"Wilmington, New Castle County, Delaware",39.73,-75.67,301.00,May,10,1933,,,,,,,,,,,,,,,,
70,CBP_1_HCMH_MICH,3.433692843,0.341007344,Type1a2,simplex,4.55,1.00,10.33,10.25,MI,Upper_Midwest,Charlevoix County,Charlevoix County,"Charlevoix County, Michigan",45.28,-84.74,969.00,October,5,1985,4.15,10.83,2.95,6.89,6.54,-3.24,1.65,14.81,3.77,9.29,11.42,0.69,6.05,2.21,2.26,2.67
71,CBP_1_HSU_ARIZ,,,,,2.74,0.74,5.95,5.84,AZ,Southwest,tempe,tempe2,Maricopa County_Arizona_Tempe,33.40,-111.90,347.27,February,23,1962,0.18,17.54,2.56,10.05,24.21,8.22,16.22,29.37,12.48,20.93,29.81,12.34,21.07,6.15,5.20,3.60
72,CBP_1_HUNT_INDI,3.345673856,0.106707086,Type6,simplex,4.57,0.77,18.09,17.70,IN,Ohio_Valley,decatur,decatur1,"Decatur, Adams County, Indiana",40.83,-84.93,244.00,May,1,1966,1.95,14.39,3.84,9.11,6.70,-3.44,1.63,16.66,4.66,10.66,15.65,3.72,9.69,1.49,1.99,2.38
73,CBP_1_IND_INDI,2.928684492,0.184690249,Type3,simplex,5.65,1.49,19.06,18.82,IN,Ohio_Valley,wellscounty,wellscounty,"Wells County, Indiana",40.73,-85.22,285.00,May,13,1900,N/A,N/A,N/A,N/A,7.46,-3.40,2.03,16.95,4.76,10.86,17.35,5.31,11.33,2.08,2.22,2.63
74,CBP_1_JCIH_GEOR,3.041734452,0.310097118,Type3,simplex,4.19,1.00,12.14,12.06,GA,Southeast,newton,newton,"Newton, Baker County, Georgia ",33.60,-83.86,43.00,March,2,2017,8.04,20.90,5.40,13.15,20.30,5.28,12.79,25.60,11.37,18.48,23.52,10.91,17.22,3.22,2.99,4.67
75,CBP_1_JMUH_VIR,3.269285138,0.132078694,Type1a2,simplex,5.24,1.58,23.24,22.98,VI,Southeast,harrisonburg,harrisonburg2,"Harrisonburg, Rockingham County, Virginia",38.43,-78.87,301.00,March,22,1983,0.00,9.05,-6.10,1.48,11.00,-0.94,5.03,17.64,4.96,11.30,16.94,4.08,10.51,2.80,2.95,3.24
76,CBP_1_LFC_VIR,2.497569181,0.433970836,Type1a2,simplex,4.19,1.53,11.30,11.19,VI,Southeast,winchester,winchester2,"Winchester, Warren County, Virginia",39.00,-78.15,301.00,August,17,1980,0.00,24.04,12.85,18.44,22.14,9.55,15.85,17.25,5.65,11.45,17.10,5.00,11.05,3.40,3.55,2.48
77,CBP_1_LSU_ALA,,,,,2.23,0.64,7.49,7.28,AL,Southeast,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
78,CBP_1_LSU_ALA,,,,,2.15,0.74,4.87,4.85,AL,Southeast,tuscaloosa,tuscaloosa1,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68.00,February,6,1975,0.04,14.07,2.68,8.38,19.79,6.44,13.12,23.72,10.49,17.10,23.44,10.99,17.21,4.23,4.59,4.30
