,sample_number,sample_name,aspect_ratio,circularity,type_ianetta,type_shull,length,width,preimeter,area,state,climate_region,id,id2,city_county_state,latitude,longitude,elevation,month,day,year,precp_in,max_temp_C,min_temp_C,avg_temp_C,avg_tmax_six_months_prior,avg_tmin_six_months_prior,avgtemp_6monthsprior,avg_tmax_previous_.year,avg_tmin_previous_.year,tavg_previous_.year,avg_tmax_.year_DOC,avg_tmin_.year_DOC,tavg_.year_DOC,avgprecp_6monthsprior,avg_precp_previous_year,avg_precp_year_DOC
11,162,CBP_10_MICH_MICH,2.699970571,0.578597198,Type3,rhomboidea,3.2,1.1,7.37,7.37,MI,Upper_Midwest,Big Rapids,Big Rapids1,"Big Rapids, Mecosta County, Michigan",43.71,-85.36,969,May,4,1998,0,23.33,7.8,15.57,6.28,-3.47,1.4,14.59,3.34,8.97,15.76,3.61,9.68,0.0213,0.0301,0.0209
12,384,CBP_4_FLAS_FLOR,2.709050015,0.557579994,Type3,rhomboidea,4.96,1.81,12.15,12.06,FL,Southeast,gainesville,gainesville3,"Gainesville, Alachua, Florida",29.61,-82.41,54,March,13,2002,1.06,27.56,10.78,19.17,23.39,9.64,16.52,27.31,13.95,20.63,27.34,14.29,20.81,0.0178,0.0358,0.0422
13,114,CBP_1_ODU_VIR,2.774910124,0.544057116,Type3,rhomboidea,1.28,0.45,2.89,2.87,VI,Southeast,norfolk,norfolk3,"Norfolk City, Norfolk County, Virginia",36.89,-76.31,301,March,9,1969,1.072,8.14,0.76,4.45,12.62,4.05,8.34,19.94,10.65,15.3,18.89,9.92,14.41,0.0297,0.0285,0.0334
14,107,CBP_1_NY_IDA,2.999219835,0.542186753,Type3,rhomboidea,2.72,0.84,5.96,5.96,ID,Northwest,boise,boise,Ada County_Idaho_Boise,43.61,-116.2,832,May,6,1911,#N/A,#N/A,#N/A,#N/A,9.8,-2.33,3.73,17.74,2.36,10.05,16.98,1.72,9.35,0.0156,0.0141,0.0142
15,444,CBP_5_PH_DELA,2.927767928,0.539516572,Type3,rhomboidea,2.6,0.8,5.82,5.8,DE,Northeast,seaford,seaford,"Seaford, Sussex County, Delaware",38.56,-75.56,301,April,14,1927,0,15.01,3,9.01,2.68,2.68,2.68,18.84,7.25,13.05,19.18,7.56,13.37,0.0268,0.0324,0.0295
16,201,CBP_14_BRIT_Tex,3.68688278,0.534972007,Type3,heteris,2.79,0.51,7.06,6.88,TX,South,FortWorth,FortWorth12,"Fort Worth, Texas",32.73,-97.32,198,March ,11,1979,0,20.12,3.32,11.72,4.16,29.51,16.96,24.72,12.06,18.39,24.67,12.2,18.43,0.0416,0.0324,0.0375
17,220,CBP_17_BRIT_Tex,3.015089249,0.533229065,Type3,heteris,11.9,3.36,39.61,38.85,TX,South,Arlington,Arlington2,"Arlington, Texas",32.74,-97.11,183,March,7,1974,0,28.76,18.1,23.43,19.34,6.47,12.91,24.55,12.55,18.55,24.6,12.43,18.52,0.0197,0.0289,0.0269
18,127,CBP_1_UCHT_GEOR,2.469602811,0.511433735,Type3,rhomboidea,3.63,1.44,8.83,8.78,GA,Southeast,dalton,dalton,"Dalton, Whitfield County, Georgia",33.01,-83.53,232,May,5,1968,0.243,26.57,11.4,18.98,17.77,3.67,10.72,23.08,9.41,16.24,23.59,9.95,16.77,0.0232,0.0271,0.0262
19,374,CBP_4_BRIT_Tex,3.482290231,0.501623267,Type3,heteris,2.07,0.82,6.42,6,TX,South,Fredericksburg,Fredericksburg2,"Fredericksburg, Texas",30.28,-98.87,514,Janurary,3,1993,0.178,12.53,4.6,8.56,25.25,11.71,18.48,24.64,12.09,18.36,24.58,11.53,18.06,0.0178,0.0283,0.0184
20,138,CBP_1_URV_VIR,3.155007018,0.501060227,Type3,rhomboidea,4.91,1.56,11.05,11,VI,Southeast,richmond,richmond3,"RIchmond, Nottoway County, Virginia",37.54,-77.43,50.7,May,3,1942,0.152,31.98,16.55,24.26,15.66,3.65,9.66,22.63,10.22,16.43,22.27,9.59,15.93,0.0263,0.0324,0.0269
21,351,CBP_3_USF_FLOR,3.349478524,0.499219503,Type1a2,rhomboidea,2.93,0.8,6.27,6.29,FL,Southeast,homestead,homestead2,"Homestead, Dade County, Florida",25.57,-80.67,1,November,2,1997,0.003,31.05,23.1,27.17,31.99,23.36,27.68,29.77,20.17,24.97,29.64,20.33,24.98,0.0707,0.0433,0.0487
22,213,CBP_16_BRIT_Tex,3.10113111,0.495070087,Type3,heteris,1.98,0.5,3.88,3.86,TX,South,FortWorth,FortWorth11,"Fort Worth, Texas",32.73,-97.32,198,February ,25,1974,0,9.8,-6.68,1.56,2.32,20.65,7.33,24.27,11.45,17.86,24.5,11.59,18.04,0.0232,0.0283,0.0261
23,212,CBP_16_BRIT_Tex,3.034281234,0.487643598,Type3,heteris,1.9,0.87,6.33,6.09,TX,South,FortWorth,FortWorth11,"Fort Worth, Texas",32.73,-97.32,198,February ,25,1974,0,9.8,-6.68,1.56,2.32,20.65,7.33,24.27,11.45,17.86,24.5,11.59,18.04,0.0232,0.0283,0.0261
24,137,CBP_1_Uofl_INDI,3.405866922,0.48440157,Type3,rhomboidea,3.76,0.92,8.4,8.38,IN,Ohio_Valley,,,Indiana,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
25,354,CBP_3_VPI_VIR,2.447091396,0.475574888,Type3,rhomboidea,3.83,1.37,9.44,9.34,VI,Southeast,alexandria,alexandria1,"Alexandria, Arlington County, Virginia",38.82,-77.05,54,April,24,1939,0,29.53,7.73,18.63,12.32,0.47,6.4,19.35,7.49,13.42,19.75,8.01,13.88,0.0303,0.0318,0.0295
26,405,CBP_4_VCU_VIR,2.530979218,0.46689604,Type3,rhomboidea,3.86,1.48,9.6,9.48,VI,Southeast,richmond,richmond13,"Richmond City, , Virginia",37.54,-77.43,50.7,April,29,1971,0,21.24,8.05,14.65,9.02,-1.35,3.84,20.03,8.06,14.05,19.69,7.73,13.71,0.0395,0.0334,0.0327
27,428,CBP_5_DOV_DELA,3.67604576,0.462852064,Type3,rhomboidea,3.39,0.73,7.48,7.45,DE,Northeast,dover,dover2,"Dover, Kent County, Delaware",39.22,-75.63,301,July,17,1984,0,31.13,19.98,25.55,4.07,4.07,4.07,18.95,7.15,13.05,18.09,6.65,12.37,0.0407,0.036,0.0299
28,2,CBP_1_ADSM_ARIZ,3.244615827,0.458480373,Type3,rhomboidea,3.46,1.09,7.66,7.64,AZ,Southwest,tucson,tucson3,Pima County_Arizona_Tuscon,32,-110.95,728,March,5,1993,0,17.72,3.63,10.68,19.99,5,12.5,26.37,10.48,18.42,26.7,10.66,18.68,0.2012,0.1747,0.1508
29,387,CBP_4_HAR_WAS,2.703716177,0.456707905,Type3,rhomboidea,3.24,0.76,7.94,7.71,WA,Northwest,almotacreek,almotacreek,Whitman County_Washington_Almota Creek,46.64,-117.29,#N/A,April,20,1975,0.054,12,0.43,6.21,6.64,-1.68,2.48,15.72,2.95,9.33,15.28,3.19,9.24,0.0199,0.0123,0.0163
30,310,CBP_29_WIS_WIS,3.932713979,0.449720494,Type3,rhomboidea,7.3,1.8,15.55,15.55,WI,Upper_Midwest,wisconsinrapids,wisconsinrapids,"Wisconsin Rapids, Wood County, Wisconsin",43.78,-88.85,301,June,3,1891,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31,341,CBP_3_NY_UTAH,2.612420807,0.446496206,Type3,rhomboidea,4.06,1.43,10.69,10.64,UT,Southwest,moab,moab,"Moab, Grand County, Utah",38.54,-109.13,2541.44,September,14,1986,0.108,11.63,0.69,6.16,29.18,11.03,20.1,20.83,4.48,12.66,20.72,4.39,12.55,0.011,0.012,0.0112
32,170,CBP_11_BRIT_Tex,3.198310527,0.446238962,Type3,heteris,3.03,0.62,8,7.57,TX,South,FortWorth,FortWorth1,"Fort Worth, Texas",32.73,-97.32,198,April,1,1926,0.104,-5.92,-14.53,-10.23,1.64,15.14,2.85,24.07,12.02,18.04,20.35,8.67,14.51,0.0164,0.0212,0.0257
33,9,CBP_1_ASU_ARIZ,3.693258,0.445858536,Type3,rhomboidea,5.05,1.3,11,10.97,AZ,Southwest,crownking,crownking,Yavapai County_Arizona_Crown King,34.23,-112.32,1415,December,31,2002,0,12.83,-0.59,6.12,25.95,11.43,18.69,24.42,8.95,16.69,24.46,8.97,16.71,0.0827,0.046,0.0459
34,102,CBP_1_NKU-KNK_OHIO,3.415234437,0.444911373,Type3,rhomboidea,4,1.02,8.84,8.77,OH,Ohio_Valley,lebanon,lebanon,"Lebanon, Warren County, Ohio",39.45,-84.1,301,April,27,1992,0.249,9.63,4.77,7.2,9.43,-0.64,4.39,18.37,7.05,12.71,16.84,5.95,11.4,0.0222,0.0234,0.0263
35,81,CBP_1_LSU_UTAH,3.517877618,0.444663723,Type3,rhomboidea,4.43,1.19,9.49,9.51,UT,Southwest,herriman,herriman,"Herriman, Salt Lake County, Utah",40.54,-112.05,1532.16,May,6,1995,0,15.43,0.98,8.2,8.57,-2.58,2.99,17.05,3.62,10.34,16.4,3.14,9.77,0.0305,0.0225,0.0238
36,14,CBP_1_BRIT_Tex,4.003755596,0.442269451,Type3,rhomboidea,3.03,0.93,5.51,5.51,TX,South,Houston,Houston1,"Houston, Texas",29.76,-95.36,11,November,14,1961,3.491,19.82,12.77,16.29,29.92,19.98,24.95,25.26,15.18,20.22,25.4,15.07,20.23,0.0547,0.042,0.0378
37,185,CBP_12_SAT_Tex1,2.711511489,0.441806705,Type3,rhomboidea,7.02,1.77,18.24,17.81,TX,South,Coleman,Coleman1,"Coleman, Texas",31.83,-99.43,518,February ,18,1994,0,20.93,7.23,14.08,20.36,5.55,12.95,24.89,10.19,17.54,25.15,10.89,18.02,0.0165,0.0154,0.0223
38,358,CBP_3_WM_VIR,3.976210656,0.439487253,Type3,rhomboidea,3.31,0.74,6.88,6.9,VI,Southeast,suffolkcity,suffolkcity2,"Suffolk City, , Virginia",36.73,-76.58,31,March,9,2009,0,27.53,10.38,18.95,14.4,3.09,8.74,21.34,9.94,15.64,21.04,10.35,15.7,0.0245,0.031,0.0458
39,76,CBP_1_LFC_VIR,2.497569181,0.433970836,Type1a2,rhomboidea,4.19,1.53,11.3,11.19,VI,Southeast,winchester,winchester2,"Winchester, Warren County, Virginia",39,-78.15,301,August,17,1980,0,24.04,12.85,18.44,22.14,9.55,15.85,17.25,5.65,11.45,17.1,5,11.05,0.034,0.0355,0.0248
40,470,CBP_6_SAT_Tex,4.88402087,0.431433822,Type1a2,heteris,4.33,1.13,8.85,8.81,TX,South,Houston,Houston2,"Houston, Texas",29.76,-95.36,11,April,4,1990,0,24.26,12.7,18.48,19.92,9.58,14.75,25.72,15.56,20.64,26.65,16.1,21.37,0.0289,0.0377,0.0277
41,305,CBP_24_WIS_WIS,3.534557986,0.430303208,Type3,rhomboidea,4.4,1.05,9.45,9.4,WI,Upper_Midwest,madison,madison4,"Madison, Dane County, Wisconsin",43.07,-89.4,266,June,14,1881,0,16.6,8.08,12.34,6.94,-2.61,2.17,6.94,-2.61,2.17,6.94,-2.61,2.17,0.031,0.031,0.031
42,286,CBP_2_SAT_Tex,3.200306314,0.427221732,Type3,heteris,3.79,1.71,15.04,14.61,TX,South,Sonora,Sonora1,"Sonora, Texas",30.57,-100.64,649,March ,15,1992,0,#N/A,#N/A,#N/A,19.61,4.67,12.14,26.06,9.35,17.7,26.45,10.32,18.39,0.0159,0.0175,0.0161
43,474,CBP_6_USF_FLOR,3.670028659,0.426746728,Type3,rhomboidea,5.34,1.24,12.69,12.58,FL,Southeast,marianna,marianna2,"Marianna, Jackson, Florida",30.77,-85.23,51,February,9,1957,0.041,28.23,14.63,21.43,24.87,11.59,18.23,27.07,14.17,20.62,26.52,14.52,20.52,0.0257,0.0342,0.0406
44,130,CBP_1_UGA_GEOR,3.667831928,0.42564472,Type3,rhomboidea,6.72,1.49,15.28,15.23,GA,Southeast,darien,darien2,"Darien, McIntosh County, Georgia",31.38,-81.44,9.1,December,29,1959,0.029,18.97,6.5,12.74,26.67,16.81,21.74,25.11,14.65,19.88,25.12,14.65,19.88,0.043,0.0436,0.0437
45,247,CBP_2_DOV_MARY,4.292408586,0.418535566,Type3,rhomboidea,4.04,0.91,8.63,8.61,MD,Northeast,preston,preston1,Caroline County_Maryland_Preston,38.71,-75.91,12,December,12,2004,2.559,12.791,8.5,6.82,23.47,13.45,18.46,19.16,9,14.08,20.4,8.16,14.28,0.0367,0.032,0.0329
46,497,CBP_7_USF_FLOR,2.933697698,0.417317731,Type3,rhomboidea,4.04,1.12,10.82,10.75,FL,Southeast,highsprings,highsprings,"High Springs, Alachua County, Florida",29.82,-82.6,21,March,2,2013,0,14.43,1.4,7.92,22.55,9.23,15.89,27.12,14.36,20.74,26.66,14.23,20.45,0.0227,0.0483,0.0408
47,235,CBP_2_ASDM_ARIZ,3.896000622,0.416362671,Type3,rhomboidea,2.52,0.62,4.76,4.79,AZ,Southwest,,,Pima County_Arizona_Tuscon,32.22,-111.13,728,,#N/A,1993,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48,150,CBP_1_WIS_WIS,3.921910451,0.415730688,Type3,rhomboidea,3.5,0.75,7.45,7.45,WI,Upper_Midwest,viroqua,viroqua,"Viroqua, Vernon County, Wisconsin",43.46,-91.2,969,May,30,1956,0.435,26.99,18.71,22.85,4.78,-6.6,-0.91,4.78,-6.6,-0.91,4.78,-6.6,-0.91,0.0187,0.0187,0.0187
49,85,CBP_1_MOR_ILL,3.016123921,0.414416183,Type3,rhomboidea,6.25,1.75,15.55,15.2,IL,Ohio_Valley,momence,momence,"Momence, Kankakee County, Illinois",41.16,-87.6,189,September,15,1975,0.037,19.53,8.62,14.08,24.66,12.31,18.49,15.27,4.85,10.06,15.62,4.98,10.3,0.0386,0.0288,0.0288
50,186,CBP_12_SAT_Tex2,3.67611597,0.414373812,Type3,rhomboidea,7.69,2.34,22.47,21.94,TX,South,Coleman,Coleman1,"Coleman, Texas",31.83,-99.43,518,February ,18,1994,0,20.93,7.23,14.08,20.36,5.55,12.95,24.89,10.19,17.54,25.15,10.89,18.02,0.0165,0.0154,0.0223
51,208,CBP_15_MICH_MICH,2.478581788,0.413710747,Type3,rhomboidea,3.1,1.23,8.71,4.37,MI,Upper_Midwest,,,,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
52,493,CBP_7_SAT_Tex,3.635334238,0.413400022,Type1a1,heteris,3.29,1.11,10.05,9.7,TX,South,Hondo,Hondo1,"Hondo, Texas",29.35,-99.14,271,March ,26,1970,0,28.35,3.35,15.85,21,7.32,14.16,27.47,13.29,20.38,27.21,12.76,19.99,0.0226,0.0223,0.0159
53,140,CBP_1_USF_FLOR,3.820315359,0.412721427,Type3,rhomboidea,4.23,0.98,9.19,9.19,FL,Southeast,plantcity,plantcity,"Plant City, Hillsborough County, Florida",28.02,-82.11,40,April,4,1989,0.198,30.98,17.5,24.24,25.79,13.35,19.57,29,16.92,22.96,29.18,17.05,23.11,0.0227,0.0339,0.0326
54,128,CBP_1_UCHT_WAS,4.328676686,0.411263799,Type3,rhomboidea,5.53,1.28,11.37,11.37,WA,Northwest,anacortes,anacortes,Skagit County_Washignton_Anacortes,48.42,-122.66,50,June,11,1965,0.895,17.82,9.95,13.89,11.98,3.08,7.53,13.89,4.87,9.38,14.66,5.42,10.04,0.026,0.0234,0.0214
55,380,CBP_4_DOV_DELA,3.631155113,0.408143401,Type3,rhomboidea,4.04,0.96,9.37,9.26,DE,Northeast,dover,dover1,"Dover, Kent County, Delaware",39.22,-75.63,301,October,22,1984,0.047,28.07,19.63,23.85,3.09,3.09,3.09,17.55,6.2,11.87,18.09,6.65,12.37,0.0309,0.0365,0.0299
56,187,CBP_12_SAT_Tex3,4.069219327,0.406242432,Type6,rhomboidea,7.69,2.34,22.47,21.94,TX,South,Coleman,Coleman1,"Coleman, Texas",31.83,-99.43,518,February ,18,1994,0,20.93,7.23,14.08,20.36,5.55,12.95,24.89,10.19,17.54,25.15,10.89,18.02,0.0165,0.0154,0.0223
57,245,CBP_2_DES_ARIZ,4.14131295,0.404386261,Type3,rhomboidea,7.53,1.58,16.13,16.13,AZ,Southwest,queencreek,queencreek,"Maricopa County_Arizona_Chandler, Superior, Queen Creek",33.25,-111.15,712,February,16,2001,0.016,14.53,1.13,7.83,22.6,8.39,15.49,28.42,13.02,20.72,28.51,13.23,20.87,0.1398,0.0997,0.0909
58,483,CBP_7_CSCN_IDA,4.087321727,0.401666831,Type3,rhomboidea,15.5,3.75,51,47.75,NE,Northern_Rockies_and_Plains,alliance,alliance,Box Butte County_Nebraska_Alliance,42.11,-102.87,1209,June,6,1975,0,27.93,9.05,18.49,9.27,-5.16,2.06,15.76,-0.1,7.83,15.41,0.08,7.74,0.0096,0.0091,0.0088
59,49,CBP_1_FTG_FLOR,3.107249842,0.401070628,Type3,rhomboidea,3.43,1.04,8.43,8.29,FL,Southeast,homestead,homestead1,"Homestead, Dade County, Florida",25.47,-80.48,1,December,2,1997,0,25.57,15.88,20.72,30.96,22.45,26.71,29.71,20.17,24.94,29.64,20.33,24.98,0.0526,0.0449,0.0487
60,238,CBP_2_BRIT_OKLA,3.980780432,0.399382765,Type3,rhomboidea,6.6,1.45,14.15,14.15,OK,South,norman,norman,"Norman, Cleveland County, Oklahoma",35.22,-97.44,357,May,15,2007,0.02,26.74,15.31,21.03,15.14,3.38,9.26,23.31,10.14,16.73,21.73,9.98,15.86,0.0376,0.0303,0.0422
61,487,CBP_7_FMNH_ILL,2.313545691,0.398886588,Type6,rhomboidea,4.19,1.65,12.9,12.71,IL,Ohio_Valley,,,"Chicago, Cook County, Illinois",#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
62,168,CBP_10_WIS_WIS,2.28528387,0.394305038,Type3,rhomboidea,5.53,1.58,15.42,15.26,WI,Upper_Midwest,,,Wisconsin,#N/A,#N/A,#N/A,,4,1876,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
63,26,CBP_1_CSCN_NEB,3.758496391,0.393291963,Type3,rhomboidea,4.62,1.31,9.93,9.93,NE,Northern_Rockies_and_Plains,,,Adams County_Nebraska_Hastings,40.59,-98.39,587,June,3,1978,0.034,23.34,10.56,16.95,8.07,-4.01,2.03,15.69,2.78,9.23,15.65,2.43,9.04,0.0162,0.0214,0.0154
64,41,CBP_1_FLAS_OHIO,3.283469657,0.392914889,Type1a1,rhomboidea,4.15,1.17,11.77,11.51,OH,Ohio_Valley,,,"Columbus, Franklin County, Ohio",39.95,-82.98,#N/A,,#N/A,1889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
65,373,CBP_4_BRIT_Tex,2.502583454,0.391595361,Type3,heteris,1.92,0.54,4.23,4.1,TX,South,Fredericksburg,Fredericksburg1,"Fredericksburg, Texas",30.28,-98.87,514,Janurary,3,1993,0.178,12.53,4.6,8.56,25.25,11.71,18.48,24.64,12.09,18.36,24.58,11.53,18.06,0.0178,0.0283,0.0184
66,221,CBP_17_CSCN_IDA,3.156222704,0.38943626,Type6,rhomboidea,3.16,1.6,11.8,11.67,NE,Northern_Rockies_and_Plains,crawford,crawford,Sioux County_Nebraska_Crawford,42.92,-103.64,1121,May,15,1978,0.128,29.8,12.77,21.28,4.61,-8.06,-1.72,16.92,1.97,9.44,14.01,-0.91,6.55,0.0105,0.0127,0.011
67,89,CBP_1_MSU_WAS,4.325872153,0.387359338,Type3,rhomboidea,3.54,0.74,7.44,7.38,WA,Northwest,ashford,ashford,Pierce County_Washington_Ashford,46.84,-121.78,537,September,31,1962,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
68,257,CBP_2_GA_FLOR,3.39996367,0.385951183,Type3,rhomboidea,5.48,1.45,14.3,14.18,FL,Southeast,staugustine,staugustine,"St. Augustine, St. Johns County, Florida",29.91,-81.32,1.5,April,14,2004,0,21.97,6.9,14.44,21.25,9.97,15.61,25.98,15.86,20.92,26.03,15.81,20.92,0.0204,0.0307,0.0376
69,158,CBP_10_HARV_VIR,2.959885905,0.380915873,Type3,rhomboidea,4.3,1.32,11.09,11.07,VI,Southeast,hampton,hampton,"Hampton , , Virginia",37.01,-76.3,301,April,7,1887,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
70,217,CBP_16_SAT_Tex,3.001078476,0.380828018,Type3,rhomboidea,4.59,1.32,14.01,13.63,TX,South,Brady,Brady1,"Brady, Texas",31.14,-99.33,505,February ,8,2016,0,17.8,-0.57,8.62,23.41,9.03,16.22,26.19,12.71,19.45,26.15,13.17,19.66,0.0209,0.0264,0.0274
71,135,CBP_1_UNA_ILL,2.793862038,0.380638726,Type3,rhomboidea,4.74,1.52,13.59,13.11,IL,Ohio_Valley,starkcounty,starkcounty,"Stark County, Illinois",41.09,-89.8,267,May,26,1907,#N/A,#N/A,#N/A,#N/A,8.06,-2.22,2.92,16.03,4.59,10.31,15.16,4.21,9.68,0.0226,0.0236,0.026
72,38,CBP_1_FLAS_FLOR,1.712279522,0.379938753,Type3,rhomboidea,4.6,2.84,15.42,15.27,FL,Southeast,tallahassee,tallahassee1,"Tallahassee, Leon County, Florida",30.46,-84.25,61,March,14,1957,0.036,26.04,15.24,20.64,22.76,10.11,16.43,26.72,14.12,20.42,26.5,14.67,20.59,0.0138,0.028,0.0446
73,225,CBP_18_BRIT_Tex,2.609581081,0.378284782,Type3,rhomboidea,3.37,1.33,14.68,14.15,TX,South,Arlington,Arlington3,"Arlington, Texas",32.74,-97.11,183,February ,22,1973,0.195,11.83,4.76,8.24,18.08,6.95,12.52,24.46,12.22,18.34,23.85,12.32,18.08,0.0253,0.0196,0.0311
74,383,CBP_4_FARM_VIR,2.498653311,0.376696224,Type3,rhomboidea,3.79,0.9,9.45,9.4,VI,Southeast,staunton,staunton,"Staunton, Highland County, Virginia",38.41,-79.58,776,August,10,1978,0.597,28.9,12.8,20.85,19.96,6.35,13.16,14.68,2.39,8.53,15.9,2.71,9.3,0.0326,0.0325,0.0272
75,210,CBP_15_SAT_Tex,4.82937037,0.374619683,Type3,rhomboidea,4.39,1.42,17.29,16.66,TX,South,Llano,Llano2,"Llano, Texas",30.76,-96.68,99,February ,11,2016,0,25.57,5.2,15.38,23.5,10.16,16.83,26.28,14.01,20.15,26.8,14.31,20.55,0.0459,0.0428,0.0402
76,411,CBP_41_WIS_WIS,3.92039144,0.372905312,Type3,rhomboidea,9.13,1.94,24.31,24.04,WI,Upper_Midwest,jefferson,jefferson,"Jefferson, Jefferson County, Wisconsin",43.01,-88.81,244,May,13,1984,0.984,18.89,6.62,12.75,2.54,-6.99,-2.23,2.54,-6.99,-2.23,2.54,-6.99,-2.23,0.0158,0.0158,0.0158
